Review Title,Customer name,Rating,Rating_Numeric,Date,Date_Parsed,Category,Comments,Useful,Helpful_Count,Review_Title_Clean,Comments_Clean,Combined_Text,Review_Title_Processed,Comments_Processed,Combined_Text_Processed,Text_Length,Word_Count
Another Midrange killer Smartphone by Xiaomi,Rishikumar Thakur,4.0 out of 5 stars,4.0,on 1 October 2018,2018-10-01,Display,"Another Midrange killer Smartphone by Xiaomi

Major Highlights:
 The Redmi 6 Pro sports a 5.84-inch full-HD+ display with a notch
 Powered by the Qualcomm Snapdragon 625 SoC
 The phone is priced at Rs. 10,999 for the 3GB RAM variant (Start Point)
 Battery of 4000 mAh and its Durability
 The Tripple Slots
 Dual AI Camera

Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced (as said by Redmi India in their launch event).

Xiaomi Redmi 6 Pro design:
Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isnt too different from what weve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it's a bit hefty too, but its manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared (IR) emitter which can be used to control IR appliances through the Mi Remote app.

Xiaomi Redmi 6 Pro specifications and software:
The phone uses Qualcomms Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isnt great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isnt smooth. Our unit was running on a pre-release version of its MIUI software, which prevented us from running most benchmarks.

Storage Options:
Well I am impressed with the Xiaomi as they provided triple Slot in sim tray (2 for nano sim & one for SD card)

Heating Issues:
Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt.

Camera in Redmi 6 pro:
The rear 12-megapixel camera has a f/2.2 aperture with PDAF. Autofocus was decently quick in good light. Theres auto-HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn't able to resolve finer detail. The white balance was a bit of a hit or a miss in close-ups, and we often found ourselves having to tap-to-focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode.

Battery in Redmi 6 Pro:
Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn't drain the battery too much either. In a single round of PUBG (around 30 minutes), in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesnt support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero
Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full-screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me.

Final Verdict:
Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly.
Suggestion for Xiaomi India: You should stop those inbuilt Ads present in your devices because we customers dont find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it.

Note: Pics Included in this Review are captured by Redmi Note 3", ,0,Another Midrange killer Smartphone by Xiaomi,"Another Midrange killer Smartphone by Xiaomi Major Highlights The Redmi 6 Pro sports a 5.84 inch full HD display with a notch Powered by the Qualcomm Snapdragon 625 SoC The phone is priced at Rs. 10,999 for the 3GB RAM variant Start Point Battery of 4000 mAh and its Durability The Tripple Slots Dual AI Camera Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced as said by Redmi India in their launch event . Xiaomi Redmi 6 Pro design Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isn t too different from what we ve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it s a bit hefty too, but it s manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared IR emitter which can be used to control IR appliances through the Mi Remote app. Xiaomi Redmi 6 Pro specifications and software The phone uses Qualcomm s Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isn t great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isn t smooth. Our unit was running on a pre release version of its MIUI software, which prevented us from running most benchmarks. Storage Options Well I am impressed with the Xiaomi as they provided triple Slot in sim tray 2 for nano sim one for SD card Heating Issues Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt. Camera in Redmi 6 pro The rear 12 megapixel camera has a f 2.2 aperture with PDAF. Autofocus was decently quick in good light. There s auto HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn t able to resolve finer detail. The white balance was a bit of a hit or a miss in close ups, and we often found ourselves having to tap to focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode. Battery in Redmi 6 Pro Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn t drain the battery too much either. In a single round of PUBG around 30 minutes , in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesn t support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me. Final Verdict Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly. Suggestion for Xiaomi India You should stop those inbuilt Ads present in your devices because we customers don t find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it. Note Pics Included in this Review are captured by Redmi Note 3","Another Midrange killer Smartphone by Xiaomi Another Midrange killer Smartphone by Xiaomi Major Highlights The Redmi 6 Pro sports a 5.84 inch full HD display with a notch Powered by the Qualcomm Snapdragon 625 SoC The phone is priced at Rs. 10,999 for the 3GB RAM variant Start Point Battery of 4000 mAh and its Durability The Tripple Slots Dual AI Camera Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced as said by Redmi India in their launch event . Xiaomi Redmi 6 Pro design Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isn t too different from what we ve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it s a bit hefty too, but it s manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared IR emitter which can be used to control IR appliances through the Mi Remote app. Xiaomi Redmi 6 Pro specifications and software The phone uses Qualcomm s Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isn t great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isn t smooth. Our unit was running on a pre release version of its MIUI software, which prevented us from running most benchmarks. Storage Options Well I am impressed with the Xiaomi as they provided triple Slot in sim tray 2 for nano sim one for SD card Heating Issues Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt. Camera in Redmi 6 pro The rear 12 megapixel camera has a f 2.2 aperture with PDAF. Autofocus was decently quick in good light. There s auto HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn t able to resolve finer detail. The white balance was a bit of a hit or a miss in close ups, and we often found ourselves having to tap to focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode. Battery in Redmi 6 Pro Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn t drain the battery too much either. In a single round of PUBG around 30 minutes , in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesn t support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me. Final Verdict Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly. Suggestion for Xiaomi India You should stop those inbuilt Ads present in your devices because we customers don t find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it. Note Pics Included in this Review are captured by Redmi Note 3",another midrange killer smartphone xiaomi,"another midrange killer smartphone xiaomi major highlight redmi pro sport 5.84 inch full display notch powered qualcomm snapdragon 625 soc phone priced 10,999 3gb ram variant start point battery 4000 mah durability tripple slot dual camera well redmi series get different smartphones different spec redmi pro powerful advanced said redmi india launch event xiaomi redmi pro design premium phone new redmi family redmi pro given somewhat better material form metal backplate however overall design different already seen xiaomi around price point fairly thick phone bit hefty manageable button good feedback without noisy left side get single tray hold two sim card separate microsd card something worth noting redmi pro support dual volta mean one sim connect network time placement port good mono speaker bottom right chance blocking using phone landscape mode slim headphone socket placed top also get infrared emitter used control appliance remote app xiaomi redmi pro specification software phone us qualcomm snapdragon 625 soc couple year old still capable chip general task gaming performance great popular game like pubg asphalt default lowest graphic setting even gameplay smooth unit running pre release version miui software prevented running benchmark storage option well impressed xiaomi provided triple slot sim tray nano sim one card heating issue well find heating issue phone playing game like pubg asphalt camera redmi pro rear megapixel camera 2.2 aperture pdaf autofocus decently quick good light auto hdr good job balancing exposure experience observed good detail landscape shot daylight colour pleasing main sensor stumbled bit macro simply able resolve finer detail white balance bit hit miss close ups often found tap focus get white balance back track saving hdr image take good couple second daylight would happy provided flash portrait mode still tap torch icon switch torch get flash portrait mode battery redmi pro battery life one strong suit redmi pro 4000mah battery easily lasted full day bit one charge playing heavy game drain battery much either single round pubg around minute survived till end recorded drop around seven percent bad internal video loop test got runtime hour minute good redmi pro support fast charging bundled 10w adapter gave roughly percent charge hour took roughly hour minute charge completely zero well buying phone heard many issue regarding inbuilt advertisement xiaomi device checked previous xiaomi phone using since year actually found inbuilt ad phone see ad inbuilt developer apps like apps music video security file manager theme sometimes see full screen ad really irritating fan cooler way stop ad wanted know contact final verdict well people want notch display big battery descent camera buy phone blindly suggestion xiaomi india stop inbuilt ad present device customer find ad valuable surfing website many ad present please stop note pic included review captured redmi note","another midrange killer smartphone xiaomi another midrange killer smartphone xiaomi major highlight redmi pro sport 5.84 inch full display notch powered qualcomm snapdragon 625 soc phone priced 10,999 3gb ram variant start point battery 4000 mah durability tripple slot dual camera well redmi series get different smartphones different spec redmi pro powerful advanced said redmi india launch event xiaomi redmi pro design premium phone new redmi family redmi pro given somewhat better material form metal backplate however overall design different already seen xiaomi around price point fairly thick phone bit hefty manageable button good feedback without noisy left side get single tray hold two sim card separate microsd card something worth noting redmi pro support dual volta mean one sim connect network time placement port good mono speaker bottom right chance blocking using phone landscape mode slim headphone socket placed top also get infrared emitter used control appliance remote app xiaomi redmi pro specification software phone us qualcomm snapdragon 625 soc couple year old still capable chip general task gaming performance great popular game like pubg asphalt default lowest graphic setting even gameplay smooth unit running pre release version miui software prevented running benchmark storage option well impressed xiaomi provided triple slot sim tray nano sim one card heating issue well find heating issue phone playing game like pubg asphalt camera redmi pro rear megapixel camera 2.2 aperture pdaf autofocus decently quick good light auto hdr good job balancing exposure experience observed good detail landscape shot daylight colour pleasing main sensor stumbled bit macro simply able resolve finer detail white balance bit hit miss close ups often found tap focus get white balance back track saving hdr image take good couple second daylight would happy provided flash portrait mode still tap torch icon switch torch get flash portrait mode battery redmi pro battery life one strong suit redmi pro 4000mah battery easily lasted full day bit one charge playing heavy game drain battery much either single round pubg around minute survived till end recorded drop around seven percent bad internal video loop test got runtime hour minute good redmi pro support fast charging bundled 10w adapter gave roughly percent charge hour took roughly hour minute charge completely zero well buying phone heard many issue regarding inbuilt advertisement xiaomi device checked previous xiaomi phone using since year actually found inbuilt ad phone see ad inbuilt developer apps like apps music video security file manager theme sometimes see full screen ad really irritating fan cooler way stop ad wanted know contact final verdict well people want notch display big battery descent camera buy phone blindly suggestion xiaomi india stop inbuilt ad present device customer find ad valuable surfing website many ad present please stop note pic included review captured redmi note",4579,860
vry small size mobile,Raza ji,3.0 out of 5 stars,3.0,on 15 September 2018,2018-09-15,Others,All ok but vry small size mobile,7 people found this helpful,7,vry small size mobile,All ok but vry small size mobile,vry small size mobile All ok but vry small size mobile,vry small size mobile,vry small size mobile,vry small size mobile vry small size mobile,54,11
Full display not working in all application.,Vaibhav Patel,3.0 out of 5 stars,3.0,on 18 September 2018,2018-09-18,Others,Quite good,7 people found this helpful,7,Full display not working in all application.,Quite good,Full display not working in all application. Quite good,full display working application,quite good,full display working application quite good,55,9
Value for Money,Amazon Customer,5.0 out of 5 stars,5.0,on 28 September 2018,2018-09-28,Display,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don't need third security apps.And the phone do charge little faster on it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for money deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",2 people found this helpful,2,Value for Money,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It s a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don t need third security apps.And the phone do charge little faster on it s stock adapter.Atleast 2hrs and 45mins.As it s a Qualcomm Chipset. Verdict The Base model is actually the Value for money deal. 3 32 GB. I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.","Value for Money Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It s a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don t need third security apps.And the phone do charge little faster on it s stock adapter.Atleast 2hrs and 45mins.As it s a Qualcomm Chipset. Verdict The Base model is actually the Value for money deal. 3 32 GB. I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",value money,redmi always king budget segment.and yet another gave redmi pro.it beautifully designed strong durable.and camera awesome like note pro display crisp notch good shape mean take whole screen.sound quality clear loud.but headset experience awesome.the battery 4000mah crazily optimized.in heavy useage give day half normal useage give days.and best thing inbuild sercurity loaded features.you need third security apps.and phone charge little faster stock adapter.atleast 2hrs 45mins.as qualcomm chipset verdict base model actually value money deal using redmi pro week totally tested,value money redmi always king budget segment.and yet another gave redmi pro.it beautifully designed strong durable.and camera awesome like note pro display crisp notch good shape mean take whole screen.sound quality clear loud.but headset experience awesome.the battery 4000mah crazily optimized.in heavy useage give day half normal useage give days.and best thing inbuild sercurity loaded features.you need third security apps.and phone charge little faster stock adapter.atleast 2hrs 45mins.as qualcomm chipset verdict base model actually value money deal using redmi pro week totally tested,857,154
Not worth for the money,Sudhakaran Wadakkancheri,2.0 out of 5 stars,2.0,on 18 September 2018,2018-09-18,Others,worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,6 people found this helpful,6,Not worth for the money,worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,Not worth for the money worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,worth money,worst product hardcore fan one really disappointing,worth money worst product hardcore fan one really disappointing,108,21
Redmi 6 pro (3/32 GB) review after using for one week.,Arun Yajurvedi,3.0 out of 5 stars,3.0,on 28 September 2018,2018-09-28,Display,"Over prised by at least around Rs.1000/- Low light photos are bad. Only one SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don't play games. I like MIUI. I have already Redmi 4 A (Rs.6000/-only) using for more than 14 months working superbly. I have good opinion about Redmi mobiles.",2 people found this helpful,2,Redmi 6 pro 3 32 GB review after using for one week.,"Over prised by at least around Rs.1000 Low light photos are bad. Only one SIM support VOLTE. Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don t play games. I like MIUI. I have already Redmi 4 A Rs.6000 only using for more than 14 months working superbly. I have good opinion about Redmi mobiles.","Redmi 6 pro 3 32 GB review after using for one week. Over prised by at least around Rs.1000 Low light photos are bad. Only one SIM support VOLTE. Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don t play games. I like MIUI. I have already Redmi 4 A Rs.6000 only using for more than 14 months working superbly. I have good opinion about Redmi mobiles.",redmi pro review using one week,prised least around rs.1000 low light photo bad one sim support volta good thing best sound good display smooth touch excellent battery life management compact nice photo video good light never get heated using charging play game like miui already redmi rs.6000 using month working superbly good opinion redmi mobile,redmi pro review using one week prised least around rs.1000 low light photo bad one sim support volta good thing best sound good display smooth touch excellent battery life management compact nice photo video good light never get heated using charging play game like miui already redmi rs.6000 using month working superbly good opinion redmi mobile,497,90
Fabulous!,Irukulla bharath,4.0 out of 5 stars,4.0,on 17 September 2018,2018-09-17,Display,"Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.",3 people found this helpful,3,Fabulous!,"Pros notch display Dual camera Face unlock 4000 mah battery Cons Some of the apps donot work in full screen mode. No Front flash Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.","Fabulous! Pros notch display Dual camera Face unlock 4000 mah battery Cons Some of the apps donot work in full screen mode. No Front flash Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.",fabulous,"pro notch display dual camera face unlock 4000 mah battery con apps donot work full screen mode front flash great product purchase finally value money.i got phone 10,500 thanks xiaomi","fabulous pro notch display dual camera face unlock 4000 mah battery con apps donot work full screen mode front flash great product purchase finally value money.i got phone 10,500 thanks xiaomi",246,44
Fantastic,Amazon Customer,4.0 out of 5 stars,4.0,on 18 September 2018,2018-09-18,Camera,Front camera is poor rest things are good,5 people found this helpful,5,Fantastic,Front camera is poor rest things are good,Fantastic Front camera is poor rest things are good,fantastic,front camera poor rest thing good,fantastic front camera poor rest thing good,51,9
Good,Amazon Customer,5.0 out of 5 stars,5.0,on 15 September 2018,2018-09-15,Others,Wooo,5 people found this helpful,5,Good,Wooo,Good Wooo,good,wooo,good wooo,9,2
All youtubers are paid,Sharad,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,"Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always",2 people found this helpful,2,All youtubers are paid,Realme is sub brand of oppo He give money to all techi youtubers including big ones and tell him to promote more realme But MI 6 Pro is much better than real me Don t worry mi have given value for money as always,All youtubers are paid Realme is sub brand of oppo He give money to all techi youtubers including big ones and tell him to promote more realme But MI 6 Pro is much better than real me Don t worry mi have given value for money as always,youtubers paid,realme sub brand oppo give money techi youtubers including big one tell promote realme pro much better real worry given value money always,youtubers paid realme sub brand oppo give money techi youtubers including big one tell promote realme pro much better real worry given value money always,235,48
