Review Title,Customer name,Rating_Numeric,Combined_Text,Short_Summary,Detailed_Summary,Extractive_Summary,Word_Count
Another Midrange killer Smartphone by Xiaomi,Rishikumar Thakur,4.0,"Another Midrange killer Smartphone by Xiaomi Another Midrange killer Smartphone by Xiaomi Major Highlights The Redmi 6 Pro sports a 5.84 inch full HD display with a notch Powered by the Qualcomm Snapdragon 625 SoC The phone is priced at Rs. 10,999 for the 3GB RAM variant Start Point Battery of 4000 mAh and its Durability The Tripple Slots Dual AI Camera Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced as said by Redmi India in their launch event . Xiaomi Redmi 6 Pro design Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isn t too different from what we ve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it s a bit hefty too, but it s manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared IR emitter which can be used to control IR appliances through the Mi Remote app. Xiaomi Redmi 6 Pro specifications and software The phone uses Qualcomm s Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isn t great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isn t smooth. Our unit was running on a pre release version of its MIUI software, which prevented us from running most benchmarks. Storage Options Well I am impressed with the Xiaomi as they provided triple Slot in sim tray 2 for nano sim one for SD card Heating Issues Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt. Camera in Redmi 6 pro The rear 12 megapixel camera has a f 2.2 aperture with PDAF. Autofocus was decently quick in good light. There s auto HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn t able to resolve finer detail. The white balance was a bit of a hit or a miss in close ups, and we often found ourselves having to tap to focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode. Battery in Redmi 6 Pro Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn t drain the battery too much either. In a single round of PUBG around 30 minutes , in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesn t support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me. Final Verdict Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly. Suggestion for Xiaomi India You should stop those inbuilt Ads present in your devices because we customers don t find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it. Note Pics Included in this Review are captured by Redmi Note 3","Redmi 6 Pro features a 5.84 inch full HD display with a notch Powered by the Qualcomm Snapdragon 625 SoC . the phone is priced at Rs. 10,999 for the 3GB RAM variant Start Point Battery of 4000 mAh and its Durability The Tripple Slots Dual AI Camera Well .","Redmi 6 Pro features a 5.84 inch full HD display with a notch Powered by the Qualcomm Snapdragon 625 SoC . the phone is priced at Rs. 10,999 for the 3GB RAM variant Start Point Battery of 4000 mAh and its Durability The Tripple Slots Dual AI Camera Well .","Battery in Redmi 6 Pro Battery life is one of the strong suits of the Redmi 6 Pro. 10,999 for the 3GB RAM variant Start Point Battery of 4000 mAh and its Durability The Tripple Slots Dual AI Camera Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced as said by Redmi India in their launch event .",860
vry small size mobile,Raza ji,3.0,vry small size mobile All ok but vry small size mobile,all ok but vry small size mobile All ok . . small size . mobile .,all ok but vry small size mobile All ok . . small size . mobile . all the good . but . tiny size mobile. a little bit of a slack .,vry small size mobile All ok but vry small size mobile,11
Full display not working in all application.,Vaibhav Patel,3.0,Full display not working in all application. Quite good,full display not working in all application . Quite good display in all applications . good .,full display not working in all application . Quite good display in all applications . good display. a lot of good . but it is a bit of a problem .,Full display not working in all application. Quite good,9
Value for Money,Amazon Customer,5.0,"Value for Money Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It s a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don t need third security apps.And the phone do charge little faster on it s stock adapter.Atleast 2hrs and 45mins.As it s a Qualcomm Chipset. Verdict The Base model is actually the Value for money deal. 3 32 GB. I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.","the Redmi 6 pro is a beautifully designed,strong and durable . the camera is awesome just like the Note 5 pro,Display is crisp and loud .","the Redmi 6 pro is a beautifully designed,strong and durable . the camera is awesome just like the Note 5 pro,Display is crisp and loud .The battery is 4000mah which is crazily optimized.In heavy useage it gives 2 day and a half in normal useage .","Value for Money Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It s a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don t need third security apps.And the phone do charge little faster on it s stock adapter.Atleast 2hrs and 45mins.As it s a Qualcomm Chipset. Verdict The Base model is actually the Value for money deal.",154
Not worth for the money,Sudhakaran Wadakkancheri,2.0,Not worth for the money worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,i am a hardcore fan of MI. but this one really disappointing . i'm not worth the money worst product from MI.,i am a hardcore fan of MI. but this one really disappointing . i'm not worth for the money worst product from MI . but it's not worth the money .,Not worth for the money worst product from MI. I am a hardcore fan of MI.,21
Redmi 6 pro (3/32 GB) review after using for one week.,Arun Yajurvedi,3.0,"Redmi 6 pro 3 32 GB review after using for one week. Over prised by at least around Rs.1000 Low light photos are bad. Only one SIM support VOLTE. Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don t play games. I like MIUI. I have already Redmi 4 A Rs.6000 only using for more than 14 months working superbly. I have good opinion about Redmi mobiles.",Redmi 6 pro 3 32 GB review after using for one week . over prised by around Rs.1000 Low light photos are bad . only one SIM support VOLTE.,Redmi 6 pro 3 32 GB review after using for one week . over prised by at least around Rs.1000 Low light photos are bad . only one SIM support VOLTE .,I have already Redmi 4 A Rs.6000 only using for more than 14 months working superbly. I have good opinion about Redmi mobiles.,90
Fabulous!,Irukulla bharath,4.0,"Fabulous! Pros notch display Dual camera Face unlock 4000 mah battery Cons Some of the apps donot work in full screen mode. No Front flash Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.","i got this phone for 10,500 and thanks to Xiaomi . i'm a fan of the phone .","i got this phone for 10,500 and thanks to Xiaomi . i'm a fan of the phone . it's a great product . the phone is a notch display and has a dual camera .","No Front flash Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi. Pros notch display Dual camera Face unlock 4000 mah battery Cons Some of the apps donot work in full screen mode.",44
Fantastic,Amazon Customer,4.0,Fantastic Front camera is poor rest things are good,Fantastic Front camera is poor rest things are good . Fantastic front camera is good rest things .,Fantastic Front camera is poor rest things are good . Fantastic front camera is good rest stuff are good rest things . good camera and good camera . a good camera with a poor rest . great front camera.,Fantastic Front camera is poor rest things are good,9
Good,Amazon Customer,5.0,Good Wooo,Good Wooo,Good Wooo,Good Wooo,2
All youtubers are paid,Sharad,5.0,All youtubers are paid Realme is sub brand of oppo He give money to all techi youtubers including big ones and tell him to promote more realme But MI 6 Pro is much better than real me Don t worry mi have given value for money as always,all youtubers are paid Realme is sub brand of oppo He give money to all techi youtubeers including big ones and tell him to promote more realme But MI 6 Pro is much better than real me Don t worry mi have given value for money .,all youtubers are paid Realme is sub brand of oppo He give money to all techi youtubeers including big ones and tell him to promote more realme But MI 6 Pro is much better than real me Don t worry mi have given value for money .,All youtubers are paid Realme is sub brand of oppo He give money to all techi youtubers including big ones and tell him to promote more realme But MI 6 Pro is much better than real me Don t worry mi have given value for money as always,48
